Movimiento,X,Y
Right,290.0,200.0
Right,300.0,200.0
Right,310.0,200.0
Right,320.0,200.0
Right,330.0,200.0
Right,340.0,200.0
Right,350.0,200.0
Right,360.0,200.0
Right,370.0,200.0
Right,380.0,200.0
Right,390.0,200.0
Right,400.0,200.0
Right,410.0,200.0
Right,420.0,200.0
Right,430.0,200.0
Right,440.0,200.0
Right,450.0,200.0
Right,460.0,200.0
Right,470.0,200.0
Right,480.0,200.0
Right,490.0,200.0
Left,480.0,200.0
Left,470.0,200.0
Left,460.0,200.0
Left,450.0,200.0
Left,440.0,200.0
Left,430.0,200.0
Left,420.0,200.0
Left,410.0,200.0
Left,400.0,200.0
Left,390.0,200.0
Left,380.0,200.0
Left,370.0,200.0
Left,360.0,200.0
Left,350.0,200.0
Left,340.0,200.0
Left,330.0,200.0
Left,320.0,200.0
Left,310.0,200.0
Left,300.0,200.0
Left,290.0,200.0
Left,280.0,200.0
Left,270.0,200.0
Left,260.0,200.0
Left,250.0,200.0
Left,240.0,200.0
Left,230.0,200.0
Left,220.0,200.0
Left,210.0,200.0
Left,200.0,200.0
Left,190.0,200.0
Left,180.0,200.0
Left,170.0,200.0
Left,160.0,200.0
Left,150.0,200.0
Left,140.0,200.0
Left,130.0,200.0
Left,120.0,200.0
Left,110.0,200.0
Left,100.0,200.0
Left,90.0,200.0
Left,80.0,200.0
Left,70.0,200.0
Left,60.0,200.0
Left,50.0,200.0
Left,40.0,200.0
Left,30.0,200.0
Left,20.0,200.0
Left,10.0,200.0
Left,0.0,200.0
Right,10.0,200.0
Right,20.0,200.0
Right,30.0,200.0
Right,40.0,200.0
Right,50.0,200.0
Right,60.0,200.0
Right,70.0,200.0
Right,80.0,200.0
Right,90.0,200.0
Down,90.0,210.0
Down,90.0,220.0
Down,90.0,230.0
Down,90.0,240.0
Down,90.0,250.0
Down,90.0,260.0
Down,90.0,270.0
Down,90.0,280.0
Down,90.0,290.0
Down,90.0,300.0
Down,90.0,310.0
Down,90.0,320.0
Down,90.0,330.0
Down,90.0,340.0
Down,90.0,350.0
Down,90.0,360.0
Down,90.0,370.0
Down,90.0,380.0
Down,90.0,390.0
Down,90.0,400.0
Up,90.0,390.0
Up,90.0,380.0
Up,90.0,370.0
Up,90.0,360.0
Up,90.0,350.0
Up,90.0,340.0
Up,90.0,330.0
Up,90.0,320.0
Up,90.0,310.0
Up,90.0,300.0
Up,90.0,290.0
Up,90.0,280.0
Up,90.0,270.0
Up,90.0,260.0
Left,80.0,260.0
Left,70.0,260.0
Left,60.0,260.0
Left,50.0,260.0
Left,40.0,260.0
Left,30.0,260.0
Left,20.0,260.0
Right,30.0,260.0
Right,40.0,260.0
Right,50.0,260.0
Right,60.0,260.0
Right,70.0,260.0
Right,80.0,260.0
Right,90.0,260.0
Right,100.0,260.0
Right,110.0,260.0
Right,120.0,260.0
Right,130.0,260.0
Right,140.0,260.0
Right,150.0,260.0
Right,160.0,260.0
Right,170.0,260.0
Right,180.0,260.0
Right,190.0,260.0
Right,200.0,260.0
Right,210.0,260.0
Right,220.0,260.0
Right,230.0,260.0
Right,240.0,260.0
Right,250.0,260.0
Right,260.0,260.0
Right,270.0,260.0
Right,280.0,260.0
Right,290.0,260.0
Up,290.0,250.0
Up,230.0,220.0
Up,230.0,210.0
Up,230.0,200.0
Up,230.0,190.0
Up,230.0,180.0
Up,230.0,170.0
Up,230.0,160.0
Up,230.0,150.0
Up,230.0,140.0
Up,230.0,130.0
Up,230.0,120.0
Up,230.0,110.0
Up,230.0,100.0
Up,230.0,90.0
Up,230.0,80.0
Up,230.0,70.0
Left,220.0,70.0
Left,210.0,70.0
Up,210.0,60.0
Up,210.0,50.0
Up,210.0,40.0
Up,210.0,30.0
Up,210.0,20.0
Up,210.0,10.0
Up,210.0,0.0
Down,210.0,10.0
Down,210.0,20.0
Down,210.0,30.0
Down,210.0,40.0
Down,210.0,50.0
Down,210.0,60.0
Down,210.0,70.0
Down,210.0,80.0
Down,210.0,90.0
Down,210.0,100.0
Down,210.0,110.0
Down,210.0,120.0
Down,210.0,130.0
Down,210.0,140.0
Down,210.0,150.0
Down,210.0,160.0
Down,210.0,170.0
Down,210.0,180.0
Down,210.0,190.0
Down,210.0,200.0
Down,210.0,210.0
Down,210.0,220.0
Down,210.0,230.0
Down,210.0,240.0
Right,220.0,240.0
Right,230.0,240.0
Right,240.0,240.0
Right,250.0,240.0
Right,260.0,240.0
Right,270.0,240.0
Right,280.0,240.0
Right,290.0,240.0
Right,300.0,240.0
Right,310.0,240.0
Right,320.0,240.0
Left,310.0,240.0
Left,300.0,240.0
Left,290.0,240.0
Left,280.0,240.0
Left,270.0,240.0
Left,260.0,240.0
Left,250.0,240.0
Left,240.0,240.0
Left,230.0,240.0
Left,220.0,240.0
Left,210.0,240.0
Left,200.0,240.0
Left,190.0,240.0
Left,180.0,240.0
Left,170.0,240.0
Left,160.0,240.0
Left,150.0,240.0
Left,140.0,240.0
Left,130.0,240.0
Left,120.0,240.0
Left,110.0,240.0
Left,100.0,240.0
Left,90.0,240.0
Left,80.0,240.0
Up,80.0,230.0
Up,80.0,220.0
Up,80.0,210.0
Up,80.0,200.0
Up,80.0,190.0
Up,80.0,180.0
Up,80.0,170.0
Up,80.0,160.0
Up,80.0,150.0
Up,80.0,140.0
Up,80.0,130.0
Up,80.0,120.0
Right,90.0,120.0
Right,100.0,120.0
Right,110.0,120.0
Right,120.0,120.0
Right,130.0,120.0
Right,140.0,120.0
Right,150.0,120.0
Right,160.0,120.0
Right,170.0,120.0
Right,180.0,120.0
Right,190.0,120.0
Right,200.0,120.0
Right,210.0,120.0
Right,220.0,120.0
